,evolutionary_age,gene_dnds,gene_essentiality,gene_haplo,number_of_chem_interaction_action,number_of_chem_interaction,number_of_chem,number_of_pathway,number_of_phenotype,number_of_rare_disease,number_of_total_disease,phylogenetic_number
233,0.0,0.03675389438701827,1.0,0.22,5,9,9,3,0,3.0,3.0,1.0
234,910.0,0.13668891561102425,1.0,,4,22,22,0,327,6.0,12.0,1.0
235,361.2,,,,13,41,39,0,76,2.0,2.0,1.0
236,,,,,10,27,24,18,0,2.0,3.0,
237,910.0,0.23808236361029694,0.0,0.506,9,34,26,1,215,36.0,41.0,1.0
238,910.0,0.1320703472466281,0.0,0.705,11,24,25,20,316,89.0,116.0,7.0
239,97.4,0.2937526827290617,1.0,,4,17,15,0,0,2.0,2.0,1.0
240,910.0,0.276950576266281,0.0,0.6970000000000001,7,21,21,10,0,12.0,17.0,3.0
241,910.0,0.09764925236407453,1.0,0.621,8,23,20,0,0,1.0,2.0,2.0
242,454.6,0.14440427190554586,0.0,0.383,9,48,46,5,169,10.0,16.0,1.0
243,324.5,0.43265495882801097,0.0,0.363,5,10,8,1,0,3.0,6.0,1.0
244,1368.0,0.15102180067989987,,0.586,7,16,17,7,250,14.0,16.0,1.0
245,797.0,0.17924685584109354,0.0,0.253,7,15,12,2,116,31.0,33.0,3.0
246,176.1,0.10564404896354758,1.0,0.222,6,20,17,6,306,17.0,18.0,1.0
247,,,1.0,,7,27,26,4,76,16.0,20.0,
248,842.0,0.2948326021955158,1.0,0.695,5,25,24,0,89,1.0,2.0,2.0
249,454.6,,1.0,,7,16,14,3,135,8.0,14.0,3.0
250,1368.0,0.19489425838095947,1.0,0.984,35,204,140,27,185,38.0,54.0,1.0
251,910.0,0.05124627621350292,1.0,0.939,16,70,54,162,98,27.0,36.0,3.0
252,842.0,0.13196212831988485,0.0,0.073,5,22,24,9,216,21.0,22.0,1.0
253,454.6,0.3300168693127651,1.0,0.473,32,104,61,15,163,13.0,19.0,1.0
254,910.0,0.20297933018778586,0.0,0.28,12,21,21,26,216,39.0,44.0,1.0
255,797.0,0.10459468045885896,1.0,0.171,26,218,129,9,203,34.0,50.0,12.0
256,910.0,0.1609277497241493,1.0,0.328,8,29,26,8,311,85.0,119.0,4.0
257,910.0,0.20297933018778586,0.0,0.28,12,21,21,26,216,39.0,44.0,1.0
258,4200.0,0.3049250722839719,1.0,0.257,5,15,14,1,182,5.0,8.0,2.0
259,1628.0,0.19753731921025133,1.0,0.768,7,16,15,7,100,8.0,10.0,1.0
260,1628.0,0.08541972190385087,1.0,0.618,5,24,23,11,105,7.0,8.0,1.0
261,910.0,0.11351607154141423,0.0,0.475,8,22,20,58,87,32.0,35.0,7.0
262,910.0,0.07139721115660773,0.0,0.813,21,71,61,16,790,59.0,123.0,3.0
263,361.2,,,,13,41,39,0,76,2.0,2.0,1.0
264,1628.0,0.2032325567063176,0.0,0.748,73,306,163,26,217,55.0,94.0,12.0
265,176.1,0.1928160569229382,1.0,0.344,6,13,10,0,0,7.0,8.0,1.0
266,842.0,0.06933437990061103,1.0,0.948,20,103,84,8,0,15.0,16.0,1.0
267,842.0,0.4266642151696329,0.0,0.26,4,22,20,3,118,38.0,53.0,1.0
268,454.6,0.09130752194798984,0.0,0.495,13,54,41,0,480,75.0,105.0,1.0
269,1368.0,0.07900371009790581,0.0,0.882,8,14,10,8,58,12.0,18.0,14.0
270,1628.0,0.23052256707302324,1.0,,7,30,23,0,0,9.0,10.0,4.0
271,,,1.0,,7,27,26,4,76,16.0,20.0,
272,4200.0,0.07484015493281643,1.0,0.619,4,8,6,20,572,25.0,31.0,2.0
273,454.6,0.20001292595855816,1.0,,6,18,18,0,0,0.0,0.0,1.0
274,454.6,0.12483030810363295,0.0,0.7240000000000001,6,21,18,0,174,11.0,20.0,2.0
275,324.5,,,,3,5,5,3,0,1.0,3.0,1.0
276,220.2,0.29439253962704925,0.0,0.238,25,58,34,37,262,58.0,89.0,1.0
277,176.1,,,,5,16,15,5,90,6.0,12.0,1.0
278,910.0,0.1260188500135898,0.0,0.887,11,46,46,23,386,33.0,50.0,4.0
279,0.0,0.4794859475379217,0.0,0.214,15,40,31,10,7,20.0,72.0,1.0
280,910.0,0.35374974143984084,0.0,0.136,7,25,25,6,0,6.0,9.0,1.0
281,,,,0.535,3,12,12,7,0,5.0,6.0,
282,842.0,0.2325598369748761,0.0,0.623,8,57,49,18,415,36.0,52.0,2.0
283,1628.0,0.09755788381159963,1.0,,6,14,14,3,0,4.0,4.0,1.0
284,910.0,0.16551832303158814,0.0,0.741,7,27,26,0,152,18.0,23.0,1.0
285,842.0,0.08509162678542098,0.0,,5,15,16,0,0,3.0,3.0,3.0
286,91.0,0.2885236650121451,0.0,0.412,6,22,22,4,0,1.0,1.0,1.0
287,797.0,,1.0,0.418,10,56,44,18,88,20.0,29.0,1.0
288,910.0,0.2124437470924354,0.0,0.493,11,45,38,8,280,93.0,119.0,3.0
289,797.0,0.3255743074978543,1.0,0.326,8,50,49,25,382,18.0,20.0,1.0
290,361.2,0.24835088547362025,0.0,0.217,10,31,31,6,202,18.0,26.0,1.0
291,1628.0,0.047740736130975785,1.0,0.955,54,232,140,155,375,46.0,64.0,2.0
292,,,,,7,31,32,8,85,11.0,12.0,
293,1628.0,0.011936607905066234,1.0,0.983,7,20,20,14,0,0.0,0.0,1.0
294,797.0,0.3441759603335886,1.0,0.234,6,14,12,6,0,3.0,6.0,1.0
295,324.5,0.5344163804808754,1.0,0.146,7,26,27,13,417,25.0,31.0,2.0
296,4200.0,0.12146618440887785,1.0,0.485,9,57,57,6,152,18.0,22.0,1.0
297,797.0,0.08466692367622357,0.0,0.485,7,17,13,3,0,5.0,7.0,2.0
298,454.6,0.03152540837122681,1.0,1.0,60,197,92,175,829,120.0,231.0,3.0
299,842.0,0.13624210482834667,1.0,0.747,8,24,20,3,455,33.0,39.0,2.0
300,0.0,0.4660315998020967,0.0,0.217,6,10,9,13,0,4.0,5.0,1.0
301,842.0,,,,6,20,17,0,212,5.0,5.0,1.0
302,842.0,0.21409714364159152,1.0,0.147,6,20,21,17,70,7.0,7.0,1.0
303,454.6,0.3005534424559432,0.0,0.16699999999999998,6,32,29,0,0,3.0,8.0,1.0
304,910.0,0.21190353628272898,0.0,0.7490000000000001,7,13,14,4,0,0.0,0.0,1.0
305,,,,,6,17,16,1,210,23.0,23.0,
306,910.0,0.1881961872486688,0.0,0.259,11,61,51,21,151,28.0,32.0,1.0
307,454.6,0.09130752194798984,0.0,0.495,13,54,41,0,480,75.0,105.0,1.0
308,910.0,0.18989196886547693,1.0,0.316,8,32,31,6,75,17.0,22.0,1.0
309,910.0,0.10556364500865158,0.0,0.597,9,38,31,1,222,44.0,72.0,6.0
310,842.0,0.09464045619345512,1.0,,4,26,23,0,147,4.0,6.0,2.0
311,842.0,0.07438189221480616,0.0,0.873,12,64,55,3,609,102.0,149.0,3.0
312,,0.3725532934514589,1.0,0.163,5,14,17,7,0,4.0,6.0,
313,324.5,0.5344163804808754,1.0,0.146,7,26,27,13,417,25.0,31.0,2.0
314,454.6,0.2935374763989808,0.0,,13,85,75,17,128,19.0,27.0,1.0
315,1628.0,0.09771491206200332,0.0,0.485,7,17,15,16,72,21.0,29.0,4.0
316,454.6,0.16216686840105618,1.0,0.213,0,0,0,0,0,25.0,36.0,2.0
317,910.0,0.034479931418588065,1.0,0.903,8,26,26,12,232,2.0,4.0,1.0
318,,,,,9,83,82,5,29,20.0,34.0,
319,797.0,0.035139990336877515,0.0,0.562,26,120,88,84,119,22.0,24.0,3.0
320,454.6,0.42735699566502017,1.0,0.219,13,39,32,0,29,1.0,3.0,1.0
321,842.0,0.165980163558202,1.0,0.989,34,352,228,15,437,79.0,106.0,4.0
322,454.6,0.14481822671533012,0.0,0.258,8,39,38,7,43,8.0,12.0,2.0
323,910.0,0.10405770521505127,0.0,0.626,12,27,17,9,81,15.0,29.0,7.0
324,0.0,0.25468145312624874,1.0,0.517,10,25,21,2,500,70.0,100.0,1.0
325,1628.0,0.3356609987724345,1.0,,5,13,16,0,189,7.0,8.0,1.0
326,4200.0,0.09810609451838163,0.0,0.299,10,48,48,5,0,3.0,5.0,3.0
327,910.0,,0.0,,6,18,17,0,225,13.0,14.0,3.0
328,910.0,0.11014949919517883,1.0,0.449,7,21,19,10,522,24.0,49.0,2.0
329,842.0,0.2525351138249433,0.0,,12,46,49,30,267,27.0,31.0,1.0
330,842.0,0.13379678407127715,1.0,0.563,7,21,17,0,337,36.0,50.0,1.0
331,,,,,11,49,38,0,0,2.0,4.0,
332,1368.0,0.054638193275509686,1.0,,6,40,38,7,186,1.0,1.0,2.0
333,324.5,,0.0,,0,0,0,0,0,43.0,65.0,1.0
334,910.0,0.05173562960812873,1.0,,40,143,69,112,625,88.0,146.0,3.0
335,1628.0,0.16659209153003893,0.0,0.354,5,8,8,6,20,17.0,20.0,3.0
336,454.6,0.2355006678610585,0.0,,7,30,30,3,0,2.0,2.0,3.0
337,,,,,7,15,13,0,0,3.0,3.0,
338,910.0,0.3115927798965815,0.0,0.584,13,81,70,6,105,36.0,53.0,4.0
339,842.0,0.14874136929421786,0.0,0.467,10,23,20,11,0,3.0,6.0,1.0
340,910.0,0.16851919870297755,0.0,0.988,8,37,33,0,118,3.0,6.0,1.0
341,1628.0,0.02293152288006468,0.0,,6,19,18,0,0,0.0,1.0,2.0
342,324.5,0.2766150804147655,1.0,0.225,5,17,15,0,98,37.0,73.0,2.0
343,910.0,0.1919379534771089,1.0,,7,31,30,8,0,103.0,177.0,3.0
344,454.6,0.17947023600015782,1.0,0.602,11,82,74,4,64,9.0,12.0,1.0
345,454.6,,,,5,24,24,4,0,5.0,9.0,1.0
346,324.5,0.31269755877336186,0.0,,9,27,21,15,0,24.0,70.0,1.0
347,1628.0,0.07187704033016214,1.0,0.6459999999999999,10,25,23,52,0,2.0,2.0,1.0
348,1628.0,0.08990628003652497,0.0,,32,126,95,122,323,29.0,39.0,2.0
349,1628.0,0.02900515085389486,0.0,0.8320000000000001,8,23,20,5,77,5.0,6.0,1.0
350,,,,,7,42,36,2,145,5.0,5.0,
351,361.2,,,,13,41,39,0,76,2.0,2.0,1.0
352,,,,,7,22,20,0,39,4.0,4.0,
353,1628.0,0.029532809116802644,0.0,0.615,9,26,30,20,0,1.0,1.0,4.0
354,910.0,0.1320703472466281,0.0,0.705,11,24,25,20,316,89.0,116.0,7.0
355,910.0,,,,8,46,39,0,456,20.0,24.0,4.0
356,1628.0,0.03629796687013501,1.0,0.5710000000000001,13,45,50,32,218,33.0,39.0,23.0
357,361.2,0.15537499463660304,0.0,0.447,7,42,33,0,590,28.0,45.0,1.0
358,220.2,0.29439253962704925,0.0,0.238,25,58,34,37,262,58.0,89.0,1.0
359,0.0,0.05545326679549231,1.0,0.7929999999999999,8,26,23,15,209,2.0,3.0,1.0
360,220.2,0.281972478265136,0.0,0.449,7,21,19,0,85,25.0,34.0,1.0
361,910.0,0.15409126362783607,0.0,,43,186,93,40,274,87.0,125.0,4.0
362,842.0,0.1406526882446855,1.0,0.782,11,25,25,1,198,39.0,43.0,1.0
363,4200.0,0.137976205099731,1.0,,14,45,40,0,390,12.0,14.0,2.0
364,842.0,0.08039415153365984,1.0,0.335,10,52,49,4,123,8.0,8.0,1.0
365,0.0,0.12308677722809745,0.0,0.935,10,32,32,26,115,4.0,8.0,1.0
366,1628.0,0.0309664284879533,1.0,0.722,19,65,58,32,0,9.0,10.0,1.0
367,361.2,0.2136390599369719,0.0,0.5870000000000001,7,16,16,7,450,37.0,48.0,1.0
368,797.0,0.0074498250647710065,1.0,0.33,7,13,13,5,263,3.0,7.0,2.0
369,1628.0,0.20974633980175916,1.0,0.22,9,17,15,2,0,1.0,1.0,1.0
370,910.0,0.10405770521505127,0.0,0.626,12,27,17,9,81,15.0,29.0,7.0
371,454.6,0.14957444130968578,0.0,0.701,4,17,17,0,0,6.0,7.0,1.0
372,454.6,,0.0,,6,19,17,0,68,11.0,15.0,1.0
373,4200.0,0.15057651761572938,0.0,0.471,12,53,54,22,118,4.0,6.0,3.0
374,176.1,0.17400822795277346,0.0,,7,12,11,0,0,0.0,1.0,1.0
375,910.0,0.1966362645558566,0.0,0.425,5,31,29,0,46,21.0,28.0,1.0
376,910.0,0.15924590109938633,0.0,0.313,25,56,37,11,456,66.0,84.0,3.0
377,,,,,6,21,17,21,348,8.0,10.0,
378,910.0,0.22155354008818434,1.0,0.297,8,30,25,5,424,13.0,15.0,2.0
379,454.6,0.09130752194798984,0.0,0.495,13,54,41,0,480,75.0,105.0,1.0
380,1628.0,0.1623681224994601,1.0,0.228,10,50,47,79,0,9.0,12.0,1.0
381,910.0,0.07768641321820158,1.0,0.995,49,275,151,32,208,64.0,85.0,3.0
382,910.0,0.1881961872486688,0.0,0.259,11,61,51,21,151,28.0,32.0,1.0
383,176.1,0.3304886169167563,1.0,0.305,7,17,15,4,0,2.0,3.0,1.0
384,,0.505121949613512,1.0,,8,31,26,8,0,2.0,3.0,
385,220.2,0.29439253962704925,0.0,0.238,25,58,34,37,262,58.0,89.0,1.0
386,324.5,0.052630977567542855,0.0,0.7559999999999999,8,29,23,0,260,7.0,7.0,1.0
387,910.0,0.047083266710587865,0.0,0.386,13,70,70,58,0,11.0,13.0,7.0
388,324.5,0.18943229268419634,0.0,0.166,7,20,16,0,185,12.0,19.0,1.0
389,220.2,,1.0,0.5479999999999999,13,72,59,8,271,102.0,125.0,1.0
390,797.0,0.08466692367622357,0.0,0.485,7,17,13,3,0,1.0,2.0,2.0
391,842.0,0.16010740182725192,0.0,0.179,10,46,37,18,444,10.0,13.0,1.0
392,1628.0,0.11324966164961082,2.0,0.349,9,80,73,18,290,16.0,20.0,1.0
393,,,,,6,24,24,0,0,1.0,10.0,
394,,0.21865062837816934,0.0,,41,157,88,22,148,5.0,12.0,
395,910.0,0.12813934513693098,0.0,0.535,8,47,39,2,247,30.0,47.0,6.0
396,1368.0,,1.0,,8,22,21,5,0,8.0,13.0,1.0
397,910.0,0.14145806616355114,0.0,0.249,8,20,17,8,0,2.0,2.0,4.0
398,842.0,0.1959367892164746,0.0,0.6509999999999999,6,16,15,3,0,1.0,1.0,1.0
399,1628.0,0.07927799456712863,1.0,0.944,12,45,39,37,250,30.0,38.0,10.0
400,1628.0,0.07927799456712863,1.0,0.944,12,45,39,37,250,8.0,13.0,10.0
401,910.0,0.2169142441057388,0.0,0.5329999999999999,23,81,61,65,496,84.0,136.0,2.0
402,1368.0,0.05128548447723552,1.0,0.392,13,25,20,73,40,5.0,7.0,2.0
403,4200.0,0.1752633849911602,1.0,0.267,8,20,20,10,130,20.0,22.0,1.0
404,454.6,0.22923416306216124,0.0,0.209,6,21,12,3,368,29.0,33.0,1.0
405,454.6,0.07484833318875181,0.0,0.42,5,11,9,2,80,12.0,16.0,2.0
406,4200.0,0.12750047745687654,1.0,,22,123,100,8,262,22.0,40.0,1.0
407,842.0,0.21865758732468354,0.0,0.491,10,31,30,0,186,14.0,16.0,1.0
408,1368.0,0.07332115562285813,1.0,0.768,11,24,23,10,193,7.0,9.0,2.0
409,454.6,0.4417417982842363,0.0,,7,32,35,0,0,0.0,3.0,2.0
410,797.0,0.07712310092850237,1.0,0.906,8,43,42,0,0,3.0,6.0,1.0
411,1368.0,0.15448496598889824,1.0,,6,26,25,7,118,11.0,14.0,2.0
412,,,,,6,19,20,10,0,5.0,10.0,
413,1628.0,0.16175549804954076,1.0,,6,13,13,37,0,2.0,2.0,1.0
414,842.0,0.1444689483889254,0.0,0.454,9,61,57,2,92,27.0,49.0,4.0
415,454.6,,,,7,34,33,0,58,6.0,12.0,1.0
416,797.0,0.25581972107425593,1.0,0.39,19,81,66,72,71,91.0,161.0,6.0
417,1628.0,0.01966796243127625,1.0,,75,439,233,80,260,103.0,153.0,1.0
418,454.6,0.42735699566502017,1.0,0.219,13,39,32,0,29,1.0,3.0,1.0
419,454.6,0.15553967958443965,1.0,0.643,28,116,102,31,943,111.0,145.0,1.0
420,176.1,0.10529312810026177,1.0,,7,15,13,0,0,2.0,2.0,1.0
421,0.0,0.25468145312624874,1.0,0.517,10,25,21,2,500,70.0,100.0,1.0
422,842.0,0.1733477057286914,0.0,0.251,6,14,10,10,0,1.0,2.0,6.0
423,454.6,0.17962620122561476,1.0,0.454,13,46,30,6,0,23.0,27.0,1.0
424,842.0,0.13556487750725846,1.0,0.479,7,18,22,0,221,14.0,15.0,1.0
425,454.6,0.08266082778487469,1.0,0.31,10,30,38,3,15,6.0,6.0,1.0
426,842.0,0.14403461726073505,1.0,0.232,8,20,17,7,271,36.0,47.0,10.0
427,1628.0,0.13803788537292674,0.0,0.198,6,18,18,1,156,21.0,25.0,23.0
428,6.1,,0.0,0.195,21,80,58,3,26,41.0,78.0,1.0
429,454.6,0.10077876125008388,0.0,0.3,6,11,11,0,251,22.0,38.0,1.0
430,797.0,0.17922778093596262,1.0,0.28300000000000003,10,22,20,5,0,3.0,3.0,1.0
431,1628.0,0.32107086653189315,0.0,0.149,3,10,11,7,413,7.0,12.0,1.0
432,842.0,0.1998713428288582,0.0,0.311,5,18,17,6,118,20.0,28.0,1.0
433,324.5,0.2766150804147655,1.0,0.225,5,17,15,0,98,50.0,66.0,2.0
434,1628.0,0.01826056381128497,1.0,0.688,11,29,27,48,223,12.0,15.0,2.0
435,910.0,0.25625085490429017,0.0,0.232,11,67,61,9,312,28.0,39.0,1.0
436,4200.0,0.15491342059743696,0.0,0.464,8,27,22,5,69,3.0,7.0,7.0
437,454.6,0.04311329247488541,1.0,0.968,11,53,45,39,135,27.0,33.0,1.0
438,454.6,0.14957444130968578,0.0,0.701,4,17,17,0,0,6.0,7.0,1.0
439,842.0,,1.0,0.304,7,27,25,3,0,2.0,5.0,2.0
440,910.0,0.1320703472466281,0.0,0.705,11,24,25,20,316,89.0,116.0,7.0
441,910.0,0.11280405484517428,0.0,,7,40,39,0,0,8.0,11.0,8.0
442,842.0,0.1977680085321193,0.0,0.338,8,17,16,0,0,0.0,0.0,2.0
443,1628.0,0.18162821369195675,1.0,0.387,5,16,15,19,425,5.0,5.0,2.0
444,,,,,6,10,9,9,68,6.0,8.0,
445,842.0,0.1872591108854112,1.0,,5,13,13,4,0,15.0,33.0,1.0
446,,,,,7,11,12,2,0,1.0,1.0,
447,220.2,0.5070524807709514,0.0,0.183,3,3,3,0,19,15.0,26.0,1.0
448,797.0,0.2532917390913858,0.0,0.165,11,39,35,10,0,14.0,18.0,3.0
449,454.6,0.4959485961996424,0.0,,10,62,60,0,0,4.0,7.0,2.0
450,176.1,0.5278612510247185,0.0,0.16399999999999998,7,14,12,6,319,47.0,65.0,1.0
451,842.0,0.09556306665261938,0.0,0.272,7,22,22,4,106,8.0,13.0,2.0
452,1368.0,0.05023432891969833,1.0,0.8759999999999999,8,33,28,76,123,16.0,24.0,4.0
453,910.0,0.12738807729445947,0.0,0.473,6,29,31,0,181,6.0,6.0,1.0
454,910.0,0.15251336918906094,0.0,0.362,7,17,18,0,149,14.0,16.0,1.0
455,1628.0,0.15869690277034146,0.0,0.435,8,28,27,0,0,1.0,2.0,6.0
456,361.2,0.1929724030483833,0.0,0.743,14,62,55,15,231,19.0,23.0,1.0
457,1368.0,0.22069358188320065,0.0,0.377,6,13,17,6,0,7.0,8.0,2.0
458,1628.0,0.30699792647871216,0.0,,14,65,56,3,227,16.0,21.0,12.0
459,1628.0,,,,11,34,32,23,148,24.0,27.0,14.0
460,1368.0,0.0674194910171535,1.0,0.481,5,26,23,69,0,7.0,7.0,4.0
461,910.0,0.06450478308144951,0.0,,8,36,38,3,114,4.0,4.0,2.0
462,,,,,7,23,21,1,111,11.0,16.0,
463,1628.0,,1.0,,13,63,53,162,45,17.0,20.0,3.0
464,220.2,0.2918245035792781,0.0,,4,12,10,0,0,8.0,10.0,1.0
465,361.2,0.07726598194034923,0.0,,9,44,40,0,289,1.0,4.0,2.0
466,,0.3474152945747643,0.0,,9,17,15,0,427,17.0,19.0,
467,1628.0,0.16822638839004833,0.0,0.243,7,31,31,2,305,40.0,46.0,1.0
468,,,,,2,7,7,0,551,44.0,67.0,
469,454.6,0.2515644001862572,1.0,0.313,11,24,29,3,179,25.0,28.0,4.0
470,1628.0,0.02900515085389486,0.0,0.8320000000000001,8,23,20,5,77,5.0,6.0,1.0
471,,,,,4,13,13,0,0,1.0,2.0,
472,4200.0,0.09990350975955213,2.0,0.618,4,10,13,0,145,29.0,31.0,1.0
473,910.0,0.0451260184953322,2.0,,20,53,48,13,353,8.0,10.0,1.0
